Name,Peak,Average,Peak Time
V_VAL_V3P3A_VTR1_EC_0.01_R1J2,3.327864,3.307777,101.225000
V_VAL_V3P3A_VTR_REG_EC_0.01_R1J1,3.328265,3.307897,66.118000
V_VAL_V3P3A_V1P8A_VTR3_EC_0.01_R2W48,1.792757,1.789560,149.936000
V_VAL_V3P3A_PLL_ANLG_0.01_R1J10,3.328666,3.307768,162.036000
V_VAL_V3P3S_UFS_0.01_R6T3,3.328987,3.311885,18.109000
V_VAL_V1P8S_UFS_0.01_R6R1,1.796124,1.790373,45.212000
V_VAL_V1P2S_UFS_0.01_R5F6,1.215529,1.215076,73.823000
V_VAL_V2P5S_UFS_0.022_R6F13,2.587889,2.587271,30.899000
V_VAL_V3P3A_0.001_R7G26,3.329628,3.312646,105.122000
V_VAL_V5A_0.001_R7H1,5.143575,5.128469,91.097000
V_VAL_V3P3S_3P3A_SNSR_HDR_0.01_R6W3,3.329388,3.311951,42.775000
V_VAL_V1P8S_1P8A_SNSR_HDR_0.01_R6W12,1.797407,1.790437,95.374000
V_VAL_V3P3S_FPS_0.01_R7J49,3.328746,3.311617,158.062000
V_VAL_V1P8S_3P3S_FPS_0.01_R7W11,1.796685,1.790446,94.446000
V_VAL_V3P3M_LAN_0.01_R9J2,3.329388,3.312057,41.605000
V_NC6,3.727596,3.478391,71.208000
V_VAL_V1P8A_TCSS_AIC1_0.01_R1N20,1.797727,1.791871,3.096000
V_VAL_V3P3A_TCSS_AIC1_0.01_R1N14,3.328105,3.310673,96.052000
V_VAL_V3P3S_TCSS_AIC1_0.01_R1N23,3.329869,3.311326,51.426000
V_VAL_V1P8A_TCSS_AIC2_0.01_R1P40,1.797647,1.791839,82.341000
V_VAL_V3P3A_TCSS_AIC2_0.01_R1P35,3.328586,3.310667,23.009000
V_VAL_V3P3S_TCSS_AIC2_0.01_R1P49,3.328586,3.311333,171.536000
V_VAL_VCC_SPI_TPM_0.01_R1R19,1.797807,1.791818,64.933000
V_NC7,10.513983,10.513983,0.000000
V_VAL_VCC3V3_SX_TCP_PA_0.01_R9P1,0.000251,0.000018,2.220000
V_VAL_VCC3V3_SX_TCP_PB_0.01_R9R14,0.000230,-0.000006,3.901000
V_NC8,0.000230,-0.000001,1.680000
V_NC9,0.000230,-0.000001,13.202000
P_VAL_VCCCORE_PH1_0.002_R4D5,7.407926,0.002006,149.432000
P_VAL_VCCCORE_PH2_0.002_R5D5,6.576332,0.000939,149.426000
P_VAL_VCCCORE_PH3_0.002_R5D6,5.365386,0.000633,149.427000
P_VAL_VCCCORE_PH4_0.002_R5D7,6.902587,0.000552,149.427000
P_VAL_VCCCORE_PH5_0.002_R6D1,0.130224,0.005964,149.426000
P_VAL_VCC_LP_ECORE_0.002_R4D6,10.753083,0.483762,149.407000
P_VAL_VCCSA_0.002_R3C22,3.318843,0.553611,149.405000
P_VAL_VDD2_CPU_0.002_R5G2,1.471666,0.380393,149.426000
P_VAL_VDDQ_CPU_0.005_R5F23,0.175840,0.027013,177.412000
P_VAL_VCCGT_PH1_0.002_R3C23,3.527062,0.254943,137.533000
P_VAL_VCCGT_PH2_0.002_R2C16,0.895894,0.012841,12.288000
P_VAL_VCCST_0.002_R3P2,0.060492,0.017419,149.423000
P_VAL_V5A_TCSS_AIC1_0.005_R1M29,0.241652,0.037910,78.677000
P_VAL_V5A_TCSS_AIC2_0.005_R1P7,0.115066,-0.011130,8.078000
P_VAL_VCCPRIM_VNNAON_0.001_R3D1,1.113041,0.219459,90.212000
P_VAL_VCCPRIM_VNNAON_FLTR_0.01_R4R2,0.032827,0.010215,21.395000
P_VAL_VCCPRIM_IO_0.004_R4D8,0.450021,0.124874,109.012000
P_VAL_VCCPRIM_IO_FLTR_0.01_R4R1,0.011067,-0.000463,82.266000
P_VAL_VCCPRIM_3P3_0.022_R2E28,0.026991,0.000009,48.424000
P_VAL_VCCPRIM_1P8_0.01_R2E52,0.017963,0.004524,77.073000
P_VAL_VCCPRIM_1P8_FLTRA_0.01_R2E69,0.057972,0.009826,25.311000
P_VAL_VCCPRIM_1P8_FLTRB_0.01_R2E33,0.010777,0.000045,105.202000
P_VAL_VCCRTC_0.022_R2E36,0.006683,0.000941,78.144000
P_VAL_VCCIO_TERM_V1P25_0.01_R2M29,0.004299,-0.002131,128.395000
P_VAL_VDD2H_MEM_0.002_R5G3,1.461190,0.115576,149.427000
P_VAL_VDD2L_MEM_0.005_R5G7,0.415834,0.038441,127.846000
P_VAL_VDD1_MEM_0.005_R5G20,0.518432,0.020906,115.455000
P_VAL_VDDQ_MEM_0.005_R5F24,0.283686,0.018216,9.861000
P_VAL_VCCCORE_VIN_0.002_R4B28,67.575348,-0.031622,149.431000
P_VAL_V3P3S_CORE_0.01_R5C18,0.297740,0.017894,149.434000
P_VAL_VCC_LP_ECORE_VIN_0.002_R4C4,32.405067,0.534086,57.564000
P_VAL_V3P3S_LP_ECORE_0.01_R4C20,0.126339,0.015167,126.875000
P_VAL_VBATA_VCCIO_VR_IN_0.01_R4C7,3.214107,0.132786,151.266000
P_VAL_V5A_IMVP_0.01_R5B37,0.188210,0.030770,8.617000
P_VAL_VBATA_VNNAON_VR_IN_0.01_R4C6,8.816406,0.259123,144.625000
P_VAL_VNNAON_VSYS_0.01_R4N20,0.395749,0.006964,122.122000
P_VAL_VCCSA_VIN_0.002_R3B11,14.294937,0.525985,141.560000
P_VAL_V3P3S_SA_0.01_R3C7,0.088754,0.007733,151.860000
P_VAL_VCCGT_VIN_0.002_R3B10,39.372890,0.212372,155.949000
P_VAL_V3P3S_GT_0.01_R3C15,0.188125,0.007886,54.994000
P_VAL_VBATA_VDD2H_VR_IN_0.005_R6F16,10.778633,0.567798,46.327000
P_VAL_VIN_VDD2H_VR_VDD_0.005_R6U2,0.271708,0.003558,2.267000
P_VAL_V5A_VDD2L_VR_IN_0.01_R5G8,1.175315,0.046599,75.507000
P_VAL_V5A_VDD1_VR_IN_0.01_R5H10,1.616943,0.025899,122.930000
P_VAL_V5A_VDDQ_VR_IN_0.01_R6F18,1.165025,0.048589,2.325000
P_VAL_VBATA_V1P8A_IN_0.01_R1E27,5.487426,0.127536,113.660000
P_VAL_VBATA_V3P3A_VR_IN_0.002_R7H4,84.115753,2.059850,51.515000
P_VAL_VBATA_V5A_VR_IN_0.002_R7H20,65.991539,2.289040,13.711000
P_VAL_V3P3A_WLAN_0.005_R2M1,3.543350,0.363146,74.839000
P_VAL_V1P8A_WWAN_0.01_R7F20,0.044185,0.005411,104.128000
P_VAL_V3P3A_WWAN_0.005_R7G3,1.507386,0.020126,26.178000
P_VAL_V5S_MCSI_CAMERA_0.01_R9B22,0.053283,-0.011741,120.014000
P_VAL_V3P3S_MCSI_CAM1_0.01_R9B11,0.192555,-0.006429,11.862000
P_VAL_V3P3S_MCSI_CAM2_0.01_R9C26,0.891445,0.064503,147.801000
P_VAL_V1P8S_MCSI_CAM1_0.01_R9B9,0.011143,-0.004305,81.667000
P_VAL_V1P8S_MCSI_CAM2_0.01_R9C20,0.320327,0.085884,179.530000
P_VAL_V1P8A_ROP_0.002_R1F29,0.465014,0.068157,97.464000
P_VAL_V3P3S_PCIE_X4_SLOT_0.005_R7N17,0.048848,0.003513,18.332000
P_VAL_V3P3A_PCIE_X8_SLOT_0.01_R6N3,0.325017,0.001595,178.825000
P_VAL_V3P3S_PCIE_X8_SLOT_0.005_R6N2,0.486101,0.003593,128.377000
P_VAL_V12S_PCIE_X8_SLOT_0.002_R7B33,1.410730,-0.024205,130.576000
P_VAL_V3P3A_GEN5_SSD_0.005_R8P23,0.269425,0.010543,172.105000
P_VAL_V1P8A_GEN5_SSD_0.01_R8P13,0.013537,-0.002783,122.518000
P_VAL_V3P3A_GEN4_SSD_0.005_R9E17,4.171040,0.119931,143.345000
