Name,Peak,Average,Peak Time
P_VAL_VDD2H_MEM_0.002_R5G3,1.577685,0.114531,80.245000
P_VAL_VDD2L_MEM_0.005_R5G7,0.406957,0.038163,152.472000
P_VAL_VDD1_MEM_0.005_R5G20,0.545425,0.020899,116.649000
P_VAL_VDDQ_MEM_0.005_R5F24,0.294758,0.018053,46.139000
P_VAL_VCCCORE_VIN_0.002_R4B28,33.869667,-0.018013,80.254000
P_VAL_V3P3S_CORE_0.01_R5C18,0.360724,0.017988,80.254000
P_VAL_VCC_LP_ECORE_VIN_0.002_R4C4,32.999474,0.536396,68.882000
P_VAL_V3P3S_LP_ECORE_0.01_R4C20,0.110024,0.014853,106.187000
P_VAL_VBATA_VCCIO_VR_IN_0.01_R4C7,3.122809,0.133934,101.865000
P_VAL_V5A_IMVP_0.01_R5B37,0.187015,0.031024,53.887000
P_VAL_VBATA_VNNAON_VR_IN_0.01_R4C6,8.786462,0.257485,105.290000
P_VAL_VNNAON_VSYS_0.01_R4N20,0.387939,0.006546,112.598000
P_VAL_VCCSA_VIN_0.002_R3B11,13.758666,0.481399,92.587000
P_VAL_V3P3S_SA_0.01_R3C7,0.082627,0.007104,146.620000
P_VAL_VCCGT_VIN_0.002_R3B10,37.268044,0.196321,126.080000
P_VAL_V3P3S_GT_0.01_R3C15,0.230645,0.007537,107.169000
P_VAL_VBATA_VDD2H_VR_IN_0.005_R6F16,10.648127,0.559763,92.256000
P_VAL_VIN_VDD2H_VR_VDD_0.005_R6U2,0.272475,0.001415,95.989000
P_VAL_V5A_VDD2L_VR_IN_0.01_R5G8,1.213116,0.045603,167.798000
P_VAL_V5A_VDD1_VR_IN_0.01_R5H10,1.597323,0.025886,165.555000
P_VAL_V5A_VDDQ_VR_IN_0.01_R6F18,1.212492,0.046426,127.689000
P_VAL_VBATA_V1P8A_IN_0.01_R1E27,5.457548,0.126036,91.115000
P_VAL_VBATA_V3P3A_VR_IN_0.002_R7H4,84.288193,2.113118,0.326000
P_VAL_VBATA_V5A_VR_IN_0.002_R7H20,59.269806,2.321727,173.273000
P_VAL_V3P3A_WLAN_0.005_R2M1,3.575959,0.346747,28.631000
P_VAL_V1P8A_WWAN_0.01_R7F20,0.041656,0.005340,157.556000
P_VAL_V3P3A_WWAN_0.005_R7G3,1.607463,0.018763,55.225000
P_VAL_V5S_MCSI_CAMERA_0.01_R9B22,0.052993,-0.012240,77.908000
P_VAL_V3P3S_MCSI_CAM1_0.01_R9B11,0.189012,-0.007192,72.272000
P_VAL_V3P3S_MCSI_CAM2_0.01_R9C26,0.869287,0.063346,13.124000
P_VAL_V1P8S_MCSI_CAM1_0.01_R9B9,0.012566,-0.004221,11.671000
P_VAL_V1P8S_MCSI_CAM2_0.01_R9C20,0.320812,0.085035,101.128000
P_VAL_V1P8A_ROP_0.002_R1F29,0.451047,0.065894,103.527000
P_VAL_V3P3S_PCIE_X4_SLOT_0.005_R7N17,0.054204,0.004258,54.481000
P_VAL_V3P3A_PCIE_X8_SLOT_0.01_R6N3,0.316182,0.002620,9.754000
P_VAL_V3P3S_PCIE_X8_SLOT_0.005_R6N2,0.514974,0.004414,73.175000
P_VAL_V12S_PCIE_X8_SLOT_0.002_R7B33,1.455893,-0.024272,29.774000
P_VAL_V3P3A_GEN5_SSD_0.005_R8P23,0.284856,0.011371,164.403000
P_VAL_V1P8A_GEN5_SSD_0.01_R8P13,0.013828,-0.003195,177.321000
P_VAL_V3P3A_GEN4_SSD_0.005_R9E17,4.225300,0.181986,23.533000
